results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	count	count_change	count_label
657	tolmetin sodium	5.22	1.06	15.52	0.021	3	159	31950	8832227	657	tolmetin sodium	rheumatoid arthritis	0	0	82.43	1	0	25	896	462866	657	tolmetin sodium	rheumatoid arthritis	32	78.8	0	0	4.5036e+15	1	0	1	92	121897	657	tolmetin sodium	rheumatoid arthritis	0	0	Inf	1	0	0	17	25554	657	tolmetin sodium	rheumatoid arthritis	0	0	4.5036e+15	1	0	1	87	108887	657	tolmetin sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	432	393
324	triamcinolone diacetate	0.91	0.19	2.66	1	3	913	31950	8831473	324	triamcinolone diacetate	rheumatoid arthritis	0	0	17.65	1	0	110	896	462781	324	triamcinolone diacetate	rheumatoid arthritis	32	78.8	0	0	678.18	1	0	9	92	121889	324	triamcinolone diacetate	rheumatoid arthritis	0	0	7900.31	1	0	2	17	25552	324	triamcinolone diacetate	rheumatoid arthritis	0	0	746.46	1	0	8	87	108880	324	triamcinolone diacetate	rheumatoid arthritis	-7.39	0.000617395953509584	279.06	0.98	0	0.01	0.88	-0.18	0.27	0.5	78	432	393
1338	abacavir	2.59	2.17	3.08	5.9e-21	130	13884	31823	8818502	1338	abacavir	hiv infection	1.5	1.18	1.9	0.00088	95	9623	321	48852	1338	abacavir	hiv infection	42	57.3	Inf	0.12	Inf	0.17	1	618	0	2953	1338	abacavir	hiv infection	Inf	0.11	Inf	0.19	1	1079	0	4744	1338	abacavir	hiv infection	0	0	27.83	1	0	559	2	2918	1338	abacavir	hiv infection	0.85	2.33964685192599	1.23	0.49	0.04	0.04	0.32	-1.6	1.27	0.21	65	497	464
1246	albendazole	2.47	1.06	4.89	0.018	8	896	31945	8831490	1246	albendazole	hiv infection	0	0	8.65	1	0	62	416	58413	1246	albendazole	hiv infection	42	57.3	0	0	4.5036e+15	1	0	4	1	3567	1246	albendazole	hiv infection	0	0	10045.43	1	0	19	1	5804	1246	albendazole	hiv infection	0	0	2904.35	1	0	7	2	3470	1246	albendazole	hiv infection	-10.94	1.77344762885484e-05	2034.37	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
1348	amprenavir	2.22	0.6	5.73	0.11	4	497	31949	8831889	1348	amprenavir	hiv infection	1.58	0.43	4.11	0.33	4	357	412	58118	1348	amprenavir	hiv infection	42	57.3	0	0	16384	1	0	6	1	3565	1348	amprenavir	hiv infection	0	0	16384	1	0	10	1	5813	1348	amprenavir	hiv infection	0	0	1776.31	1	0	11	2	3466	1348	amprenavir	hiv infection	-11.47	1.04386008780825e-05	2282.11	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
1501	atazanavir	1.67	1.34	2.07	8e-06	87	14383	31866	8818003	1501	atazanavir	hiv infection	0.94	0.7	1.23	0.68	60	8924	356	49551	1501	atazanavir	hiv infection	42	57.3	0	0	255.13	1	0	472	1	3099	1501	atazanavir	hiv infection	0	0	303.19	1	0	661	1	5162	1501	atazanavir	hiv infection	0	0	20.42	1	0	720	2	2757	1501	atazanavir	hiv infection	-15.73	1.47417078339284e-07	2070.32	0.99	0.04	0.04	0.33	-1.64	1.26	0.19	65	497	464
1133	atovaquone	3.15	2.31	4.2	3.2e-11	47	4130	31906	8828256	1133	atovaquone	hiv infection	3.49	1.65	6.55	0.00091	10	410	406	58065	1133	atovaquone	hiv infection	42	57.3	0	0	6873.44	1	0	18	1	3553	1133	atovaquone	hiv infection	0	0	5305.51	1	0	39	1	5784	1133	atovaquone	hiv infection	0	0	3476.99	1	0	6	2	3471	1133	atovaquone	hiv infection	-11.94	6.52414922649937e-06	2518.83	1	0.04	0.04	0.3	-1.58	1.27	0.22	65	497	464
1796	azithromycin	2.5	2.23	2.79	2.5e-45	319	35503	31634	8796883	1796	azithromycin	hiv infection	3.58	2.5	5	1.3e-10	39	1643	377	56832	1796	azithromycin	hiv infection	42	57.3	0	0	2240.88	1	0	59	1	3512	1796	azithromycin	hiv infection	0	0	2222.68	1	0	97	1	5726	1796	azithromycin	hiv infection	0	0	445.64	1	0	41	2	3436	1796	azithromycin	hiv infection	-13.27	1.72548911973592e-06	2384.07	1	0.04	0.04	0.3	-1.58	1.27	0.22	65	497	464
1816	azithromycin dihydrate	5.53	0.14	32.25	0.17	1	50	31952	8832336	1816	azithromycin dihydrate	hiv infection	11.74	0.27	79.53	0.088	1	12	415	58463	1816	azithromycin dihydrate	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	1816	azithromycin dihydrate	hiv infection	0	0	Inf	1	0	0	1	5823	1816	azithromycin dihydrate	hiv infection	0	0	Inf	1	0	0	2	3477	1816	azithromycin dihydrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1238	cidofovir	0.92	0.11	3.32	1	2	604	31951	8831782	1238	cidofovir	hiv infection	0	0	6.18	1	0	86	416	58389	1238	cidofovir	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	1238	cidofovir	hiv infection	0	0	Inf	1	0	0	1	5823	1238	cidofovir	hiv infection	0	0	Inf	1	0	0	2	3477	1238	cidofovir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
2013	cobicistat	0.14	0	0.79	0.013	1	1943	31952	8830443	2013	cobicistat	hiv infection	0	0	0.48	0.0012	0	1068	416	57407	2013	cobicistat	hiv infection	42	57.3	0	0	511.89	1	0	251	1	3320	2013	cobicistat	hiv infection	0	0	441.21	1	0	470	1	5353	2013	cobicistat	hiv infection	0	0	86.33	1	0	202	2	3275	2013	cobicistat	hiv infection	-14.48	5.14536161191121e-07	1768.05	0.99	0.05	0.04	0.3	-1.58	1.28	0.22	65	497	464
1536	dapsone	1.6	1.04	2.37	0.03	25	4316	31928	8828070	1536	dapsone	hiv infection	0.4	0.05	1.47	0.25	2	695	414	57780	1536	dapsone	hiv infection	42	57.3	0	0	16384	1	0	6	1	3565	1536	dapsone	hiv infection	0	0	6947.4	1	0	29	1	5794	1536	dapsone	hiv infection	0	0	2493.59	1	0	8	2	3469	1536	dapsone	hiv infection	-11.26	1.28778728799356e-05	1693.97	0.99	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
1983	darunavir	1.13	0.66	1.81	0.6	17	4171	31936	8828215	1983	darunavir	hiv infection	0.67	0.37	1.12	0.15	15	3102	401	55373	1983	darunavir	hiv infection	42	57.3	0	0	569.59	1	0	227	1	3344	1983	darunavir	hiv infection	0	0	722.71	1	0	295	1	5528	1983	darunavir	hiv infection	0	0	108.7	1	0	163	2	3314	1983	darunavir	hiv infection	-14.56	4.74976741202553e-07	2158.26	0.99	0.04	0.04	0.3	-1.59	1.27	0.21	65	497	464
1570	darunavir ethanolate	0.52	0.27	0.88	0.012	13	6953	31940	8825433	1570	darunavir ethanolate	hiv infection	0.3	0.15	0.54	3.8e-06	11	4848	405	53627	1570	darunavir ethanolate	hiv infection	42	57.3	0	0	264.74	1	0	457	1	3114	1570	darunavir ethanolate	hiv infection	0	0	250.48	1	0	782	1	5041	1570	darunavir ethanolate	hiv infection	0	0	49.5	1	0	338	2	3139	1570	darunavir ethanolate	hiv infection	-15.5	1.85539136261598e-07	2278.45	0.99	0.05	0.04	0.3	-1.54	1.27	0.23	65	497	464
2114	darunavir hydrate	0	0	10.6	1	0	98	31953	8832288	2114	darunavir hydrate	hiv infection	0	0	7.11	1	0	75	416	58400	2114	darunavir hydrate	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	2114	darunavir hydrate	hiv infection	0	0	Inf	1	0	0	1	5823	2114	darunavir hydrate	hiv infection	0	0	Inf	1	0	0	2	3477	2114	darunavir hydrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1260	delavirdine mesylate	0	0	5.82	1	0	177	31953	8832209	1260	delavirdine mesylate	hiv infection	0	0	5.09	1	0	104	416	58371	1260	delavirdine mesylate	hiv infection	42	57.3	0	0	5978.74	1	0	21	1	3550	1260	delavirdine mesylate	hiv infection	0	0	8526.18	1	0	23	1	5800	1260	delavirdine mesylate	hiv infection	0	0	16384	1	0	2	2	3475	1260	delavirdine mesylate	hiv infection	-11.18	1.39504331499963e-05	2101.54	1	0.04	0.04	0.3	-1.58	1.27	0.22	65	497	464
1101	didanosine	4	3.26	4.85	1.7e-30	104	7208	31849	8825178	1101	didanosine	hiv infection	2.72	2.11	3.47	1.4e-13	85	5047	331	53428	1101	didanosine	hiv infection	42	57.3	0	0	1238.52	1	0	107	1	3464	1101	didanosine	hiv infection	0	0	1294.4	1	0	167	1	5656	1101	didanosine	hiv infection	0	0	80.04	1	0	217	2	3260	1101	didanosine	hiv infection	-14.43	5.40916994300501e-07	2389.37	1	0.04	0.04	0.32	-1.59	1.27	0.21	65	497	464
2168	dolutegravir	0	0	1.42	0.2	0	718	31953	8831668	2168	dolutegravir	hiv infection	0	0	0.9	0.039	0	573	416	57902	2168	dolutegravir	hiv infection	42	57.3	0	0	1066.4	1	0	124	1	3447	2168	dolutegravir	hiv infection	0	0	906.37	1	0	237	1	5586	2168	dolutegravir	hiv infection	0	0	190.59	1	0	95	2	3382	2168	dolutegravir	hiv infection	-14.42	5.46353300471887e-07	2537.25	1	0.04	0.04	0.3	-1.57	1.27	0.22	65	497	464
2067	dolutegravir sodium	0.23	0.03	0.81	0.016	2	2456	31951	8829930	2067	dolutegravir sodium	hiv infection	0.09	0	0.48	0.00022	1	1609	415	56866	2067	dolutegravir sodium	hiv infection	42	57.3	0	0	294.52	1	0	416	1	3155	2067	dolutegravir sodium	hiv infection	0	0	258.82	1	0	760	1	5063	2067	dolutegravir sodium	hiv infection	0	0	64.9	1	0	264	2	3213	2067	dolutegravir sodium	hiv infection	-15.53	1.80055626083516e-07	2382.03	0.99	0.05	0.04	0.28	-1.54	1.27	0.23	65	497	464
860	econazole nitrate	0	0	1.58	0.18	0	648	31953	8831738	860	econazole nitrate	hiv infection	0	0	22.43	1	0	25	416	58450	860	econazole nitrate	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	860	econazole nitrate	hiv infection	0	0	Inf	1	0	0	1	5823	860	econazole nitrate	hiv infection	0	0	4.5036e+15	1	0	1	2	3476	860	econazole nitrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1336	efavirenz	1.58	1.28	1.93	2.7e-05	96	16798	31857	8815588	1336	efavirenz	hiv infection	1.05	0.81	1.34	0.71	83	11242	333	47233	1336	efavirenz	hiv infection	42	57.3	0	0	183.37	1	0	625	1	2946	1336	efavirenz	hiv infection	0	0	168.37	1	0	1093	1	4730	1336	efavirenz	hiv infection	0	0	18.68	1	0	772	2	2705	1336	efavirenz	hiv infection	-15.63	1.62921067808256e-07	1776.37	0.99	0.04	0.04	0.34	-1.58	1.27	0.21	65	497	464
2012	elvitegravir	0.16	0	0.91	0.038	1	1697	31952	8830689	2012	elvitegravir	hiv infection	0	0	0.56	0.0024	0	917	416	57558	2012	elvitegravir	hiv infection	42	57.3	0	0	606.19	1	0	214	1	3357	2012	elvitegravir	hiv infection	0	0	508.24	1	0	412	1	5411	2012	elvitegravir	hiv infection	0	0	104.68	1	0	169	2	3308	2012	elvitegravir	hiv infection	-14.46	5.24930481139405e-07	1904.2	0.99	0.05	0.04	0.3	-1.58	1.28	0.22	65	497	464
1490	emtricitabine	0.82	0.67	1.01	0.061	95	31905	31858	8800481	1490	emtricitabine	hiv infection	0.4	0.31	0.52	1.5e-14	74	20456	342	38019	1490	emtricitabine	hiv infection	42	57.3	0	0	33.94	0.47	0	1910	1	1661	1490	emtricitabine	hiv infection	0	0	33.85	0.46	0	3118	1	2705	1490	emtricitabine	hiv infection	Inf	0.22	Inf	0.21	2	1608	0	1869	1490	emtricitabine	hiv infection	0.73	2.07508060767412	1.23	0.55	0.04	0.04	0.31	-1.61	1.27	0.2	65	497	464
1485	enfuvirtide	3.21	2.28	4.4	8.1e-10	39	3357	31914	8829029	1485	enfuvirtide	hiv infection	1.58	0.98	2.41	0.046	23	2094	393	56381	1485	enfuvirtide	hiv infection	42	57.3	0	0	3191.32	1	0	41	1	3530	1485	enfuvirtide	hiv infection	0	0	4288.5	1	0	49	1	5774	1485	enfuvirtide	hiv infection	0	0	942.77	1	0	20	2	3457	1485	enfuvirtide	hiv infection	-12.18	5.1320775513202e-06	2092.3	1	0.04	0.04	0.3	-1.57	1.27	0.22	65	497	464
1613	etravirine	1.54	0.94	2.38	0.068	20	3594	31933	8828792	1613	etravirine	hiv infection	0.89	0.51	1.45	0.81	17	2662	399	55813	1613	etravirine	hiv infection	42	57.3	0	0	556.59	1	0	232	1	3339	1613	etravirine	hiv infection	0	0	738.33	1	0	289	1	5534	1613	etravirine	hiv infection	0	0	173.55	1	0	104	2	3373	1613	etravirine	hiv infection	-14.52	4.94360909734407e-07	2351.1	1	0.04	0.04	0.29	-1.56	1.27	0.22	65	497	464
1140	ferric ammonium citrate	9.53	0.23	57.47	0.1	1	29	31952	8832357	1140	ferric ammonium citrate	hiv infection	0	0	153.89	1	0	5	416	58470	1140	ferric ammonium citrate	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	1140	ferric ammonium citrate	hiv infection	0	0	Inf	1	0	0	1	5823	1140	ferric ammonium citrate	hiv infection	0	0	Inf	1	0	0	2	3477	1140	ferric ammonium citrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1496	fosamprenavir calcium	2.4	1.15	4.43	0.011	10	1151	31943	8831235	1496	fosamprenavir calcium	hiv infection	1.47	0.63	2.93	0.27	8	771	408	57704	1496	fosamprenavir calcium	hiv infection	42	57.3	0	0	6547.05	1	0	19	1	3552	1496	fosamprenavir calcium	hiv infection	0	0	6357.85	1	0	32	1	5791	1496	fosamprenavir calcium	hiv infection	0	0	897.93	1	0	21	2	3456	1496	fosamprenavir calcium	hiv infection	-12.44	3.95709653441233e-06	2326.03	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
1080	foscarnet sodium	12.94	9.38	17.46	1.6e-33	45	962	31908	8831424	1080	foscarnet sodium	hiv infection	26.24	16.24	40.93	1.2e-25	25	142	391	58333	1080	foscarnet sodium	hiv infection	42	57.3	0	0	10545.25	1	0	11	1	3560	1080	foscarnet sodium	hiv infection	0	0	12219.83	1	0	15	1	5808	1080	foscarnet sodium	hiv infection	0	0	4.5036e+15	1	0	1	2	3476	1080	foscarnet sodium	hiv infection	-10.2	3.71703186841267e-05	1585.82	0.99	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
1743	griseofulvin	2.27	0.27	8.27	0.22	2	244	31951	8832142	1743	griseofulvin	hiv infection	0	0	82.48	1	0	8	416	58467	1743	griseofulvin	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	1743	griseofulvin	hiv infection	0	0	4.5036e+15	1	0	3	1	5820	1743	griseofulvin	hiv infection	0	0	4.5036e+15	1	0	1	2	3476	1743	griseofulvin	hiv infection	-8.65	0.000175126848157658	1898.46	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
1837	griseofulvin, microsize	2.46	0.3	8.98	0.2	2	225	31951	8832161	1837	griseofulvin, microsize	hiv infection	0	0	82.48	1	0	8	416	58467	1837	griseofulvin, microsize	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	1837	griseofulvin, microsize	hiv infection	0	0	4.5036e+15	1	0	3	1	5820	1837	griseofulvin, microsize	hiv infection	0	0	4.5036e+15	1	0	1	2	3476	1837	griseofulvin, microsize	hiv infection	-8.65	0.000175126848157658	1898.46	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
715	hydrocortisone valerate	0	0	3.89	1	0	264	31953	8832122	715	hydrocortisone valerate	hiv infection	0	0	56.19	1	0	11	416	58464	715	hydrocortisone valerate	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	715	hydrocortisone valerate	hiv infection	0	0	Inf	1	0	0	1	5823	715	hydrocortisone valerate	hiv infection	0	0	Inf	1	0	0	2	3477	715	hydrocortisone valerate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
448	idoxuridine	0	0	71.66	1	0	16	31953	8832370	448	idoxuridine	hiv infection	0	0	734.45	1	0	2	416	58473	448	idoxuridine	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	448	idoxuridine	hiv infection	0	0	Inf	1	0	0	1	5823	448	idoxuridine	hiv infection	0	0	Inf	1	0	0	2	3477	448	idoxuridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1251	indinavir	4.75	3.19	6.8	1.1e-11	30	1748	31923	8830638	1251	indinavir	hiv infection	2.64	1.63	4.08	8.2e-05	22	1209	394	57266	1251	indinavir	hiv infection	42	57.3	0	0	2358.45	1	0	56	1	3515	1251	indinavir	hiv infection	0	0	3139.35	1	0	68	1	5755	1251	indinavir	hiv infection	0	0	469.58	1	0	39	2	3438	1251	indinavir	hiv infection	-12.38	4.20178971844699e-06	1645.86	0.99	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
1208	lamivudine	2.55	2.29	2.83	1.1e-51	352	38443	31601	8793943	1208	lamivudine	hiv infection	2.05	1.68	2.5	5.3e-13	238	23105	178	35370	1208	lamivudine	hiv infection	42	57.3	Inf	0.08	Inf	0.25	1	878	0	2693	1208	lamivudine	hiv infection	Inf	0.07	Inf	0.27	1	1553	0	4270	1208	lamivudine	hiv infection	0	0	9.68	0.54	0	1235	2	2242	1208	lamivudine	hiv infection	0.17	1.18530485132037	1.23	0.89	0.04	0.04	0.3	-1.57	1.27	0.22	65	497	464
1416	lopinavir	2.75	2.36	3.18	6.6e-31	179	18084	31774	8814302	1416	lopinavir	hiv infection	2	1.61	2.47	3.3e-10	135	11331	281	47144	1416	lopinavir	hiv infection	42	57.3	0	0	425.63	1	0	298	1	3273	1416	lopinavir	hiv infection	0	0	418.05	1	0	494	1	5329	1416	lopinavir	hiv infection	0	0	31.87	1	0	498	2	2979	1416	lopinavir	hiv infection	-15.57	1.72995544001001e-07	2442.87	0.99	0.04	0.04	0.33	-1.6	1.27	0.21	65	497	464
1603	maraviroc	0.62	0.2	1.44	0.38	5	2240	31948	8830146	1603	maraviroc	hiv infection	0.32	0.09	0.84	0.012	4	1704	412	56771	1603	maraviroc	hiv infection	42	57.3	0	0	1457.9	1	0	91	1	3480	1603	maraviroc	hiv infection	0	0	1256.42	1	0	172	1	5651	1603	maraviroc	hiv infection	0	0	404.93	1	0	46	2	3431	1603	maraviroc	hiv infection	-13.41	1.50006817633345e-06	1911.95	0.99	0.04	0.04	0.3	-1.56	1.27	0.22	65	497	464
425	methoxyflurane	0	0	301.25	1	0	5	31953	8832381	425	methoxyflurane	hiv infection	0	0	5049.58	1	0	1	416	58474	425	methoxyflurane	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	425	methoxyflurane	hiv infection	0	0	Inf	1	0	0	1	5823	425	methoxyflurane	hiv infection	0	0	Inf	1	0	0	2	3477	425	methoxyflurane	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
427	nandrolone decanoate	1.11	0.03	6.22	0.6	1	250	31952	8832136	427	nandrolone decanoate	hiv infection	0	0	13.62	1	0	40	416	58435	427	nandrolone decanoate	hiv infection	42	57.3	0	0	4.5036e+15	1	0	1	1	3570	427	nandrolone decanoate	hiv infection	0	0	4.5036e+15	1	0	1	1	5822	427	nandrolone decanoate	hiv infection	0	0	Inf	1	0	0	2	3477	427	nandrolone decanoate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
341	nandrolone phenpropionate	0	0	10.5	1	0	99	31953	8832287	341	nandrolone phenpropionate	hiv infection	0	0	30.24	1	0	19	416	58456	341	nandrolone phenpropionate	hiv infection	42	57.3	0	0	4.5036e+15	1	0	1	1	3570	341	nandrolone phenpropionate	hiv infection	0	0	4.5036e+15	1	0	1	1	5822	341	nandrolone phenpropionate	hiv infection	0	0	Inf	1	0	0	2	3477	341	nandrolone phenpropionate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1284	nelfinavir mesylate	1.76	1	2.86	0.03	16	2513	31937	8829873	1284	nelfinavir mesylate	hiv infection	0.81	0.37	1.57	0.65	9	1545	407	56930	1284	nelfinavir mesylate	hiv infection	42	57.3	0	0	6873.44	1	0	18	1	3553	1284	nelfinavir mesylate	hiv infection	0	0	5305.51	1	0	39	1	5784	1284	nelfinavir mesylate	hiv infection	0	0	328.54	1	0	56	2	3421	1284	nelfinavir mesylate	hiv infection	-12.2	5.03045560711145e-06	1780.05	0.99	0.04	0.04	0.31	-1.58	1.27	0.21	65	497	464
1237	nevirapine	1.79	1.41	2.25	4.1e-06	75	11581	31878	8820805	1237	nevirapine	hiv infection	1.15	0.85	1.53	0.32	55	6842	361	51633	1237	nevirapine	hiv infection	42	57.3	0	0	730.83	1	0	179	1	3392	1237	nevirapine	hiv infection	0	0	644.83	1	0	329	1	5494	1237	nevirapine	hiv infection	0	0	61.13	1	0	279	2	3198	1237	nevirapine	hiv infection	-14.45	5.30206120182429e-07	1893.09	0.99	0.04	0.04	0.32	-1.57	1.27	0.21	65	497	464
1489	nitazoxanide	2.55	0.31	9.32	0.19	2	217	31951	8832169	1489	nitazoxanide	hiv infection	0	0	18.46	1	0	30	416	58445	1489	nitazoxanide	hiv infection	42	57.3	0	0	4.5036e+15	1	0	1	1	3570	1489	nitazoxanide	hiv infection	0	0	Inf	1	0	0	1	5823	1489	nitazoxanide	hiv infection	0	0	4.5036e+15	1	0	1	2	3476	1489	nitazoxanide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
446	oxandrolone	6.03	2.4	12.57	0.00022	7	321	31946	8832065	446	oxandrolone	hiv infection	3.66	0.43	13.78	0.11	2	77	414	58398	446	oxandrolone	hiv infection	42	57.3	0	0	4.5036e+15	1	0	2	1	3569	446	oxandrolone	hiv infection	0	0	4.5036e+15	1	0	4	1	5819	446	oxandrolone	hiv infection	0	0	Inf	1	0	0	2	3477	446	oxandrolone	hiv infection	-9.18	0.000103080533149705	1969.41	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
1827	paromomycin	9.99	2.02	30.23	0.0038	3	83	31950	8832303	1827	paromomycin	hiv infection	0	0	28.58	1	0	20	416	58455	1827	paromomycin	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	1827	paromomycin	hiv infection	0	0	4.5036e+15	1	0	1	1	5822	1827	paromomycin	hiv infection	0	0	4.5036e+15	1	0	1	2	3476	1827	paromomycin	hiv infection	-9	0.00012340980408668	1696.5	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
930	pentamidine isethionate	2.19	1.13	3.84	0.015	12	1514	31941	8830872	930	pentamidine isethionate	hiv infection	3.93	1.86	7.39	0.00037	10	364	406	58111	930	pentamidine isethionate	hiv infection	42	57.3	0	0	16384	1	0	5	1	3566	930	pentamidine isethionate	hiv infection	0	0	14584.69	1	0	12	1	5811	930	pentamidine isethionate	hiv infection	0	0	2493.59	1	0	8	2	3469	930	pentamidine isethionate	hiv infection	-11.37	1.15364381158557e-05	2295.38	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
850	praziquantel	0	0	8.28	1	0	125	31953	8832261	850	praziquantel	hiv infection	0	0	24.54	1	0	23	416	58452	850	praziquantel	hiv infection	42	57.3	0	0	Inf	1	0	0	1	3571	850	praziquantel	hiv infection	0	0	Inf	1	0	0	1	5823	850	praziquantel	hiv infection	0	0	Inf	1	0	0	2	3477	850	praziquantel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
151	pyrimethamine	0.27	0.01	1.52	0.28	1	1014	31952	8831372	151	pyrimethamine	hiv infection	0.41	0.01	2.32	0.74	1	340	415	58135	151	pyrimethamine	hiv infection	42	57.3	0	0	15158.12	1	0	7	1	3564	151	pyrimethamine	hiv infection	0	0	14584.69	1	0	12	1	5811	151	pyrimethamine	hiv infection	0	0	2197.03	1	0	9	2	3468	151	pyrimethamine	hiv infection	-11.44	1.07565036029513e-05	2272.5	1	0.04	0.04	0.3	-1.58	1.27	0.21	65	497	464
2032	raltegravir	1.11	0.63	1.8	0.69	16	3994	31937	8828392	2032	raltegravir	hiv infection	0.75	0.41	1.25	0.3	15	2791	401	55684	2032	raltegravir	hiv infection	42	57.3	0	0	591.6	1	0	219	1	3352	2032	raltegravir	hiv infection	0	0	571.41	1	0	369	1	5454	2032	raltegravir	hiv infection	0	0	105.99	1	0	167	2	3310	2032	raltegravir	hiv infection	-14.46	5.24930481139405e-07	2007.93	0.99	0.04	0.04	0.3	-1.56	1.27	0.22	65	497	464
1606	raltegravir potassium	0.56	0.33	0.89	0.012	18	8822	31935	8823564	1606	raltegravir potassium	hiv infection	0.27	0.14	0.47	4e-08	12	5890	404	52585	1606	raltegravir potassium	hiv infection	42	57.3	Inf	0.13	Inf	0.16	1	572	0	2999	1606	raltegravir potassium	hiv infection	Inf	0.13	Inf	0.16	1	938	0	4885	1606	raltegravir potassium	hiv infection	9.4	0.12	734.13	0.18	1	334	1	3143	1606	raltegravir potassium	hiv infection	2.64	14.0132036077336	1.24	0.03	0.03	0.04	0.42	-1.81	1.27	0.16	65	497	464
1803	rifabutin	5.45	3.51	8.08	3.4e-11	25	1270	31928	8831116	1803	rifabutin	hiv infection	6.55	3.8	10.62	1.7e-09	18	401	398	58074	1803	rifabutin	hiv infection	42	57.3	0	0	3816.36	1	0	34	1	3537	1803	rifabutin	hiv infection	0	0	4645.03	1	0	45	1	5778	1803	rifabutin	hiv infection	0	0	2197.03	1	0	9	2	3468	1803	rifabutin	hiv infection	-12.14	5.34152160940495e-06	2343.3	1	0.04	0.04	0.3	-1.57	1.27	0.22	65	497	464
1980	rilpivirine	1.36	0.58	2.68	0.4	8	1632	31945	8830754	1980	rilpivirine	hiv infection	0.28	0.03	1.02	0.054	2	988	414	57487	1980	rilpivirine	hiv infection	42	57.3	0	0	752.68	1	0	174	1	3397	1980	rilpivirine	hiv infection	0	0	634.7	1	0	334	1	5489	1980	rilpivirine	hiv infection	24.86	0.32	1923.34	0.076	1	134	1	3343	1980	rilpivirine	hiv infection	2.34	10.3812365627318	1.23	0.06	0.04	0.04	0.32	-1.66	1.27	0.19	65	497	464
