results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex
407	paramethasone acetate	0	0	51.08	1	0	5	185424	8678910	407	paramethasone acetate	rheumatoid arthritis	0	0	144.74	1	0	4	4787	458996	407	paramethasone acetate	rheumatoid arthritis	34.5	75.7	0	0	Inf	1	0	0	1337	114433	407	paramethasone acetate	rheumatoid arthritis	0	0	Inf	1	0	0	248	25323	407	paramethasone acetate	rheumatoid arthritis	0	0	Inf	1	0	0	1239	107736	407	paramethasone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
408	fluocinolone acetonide	2.14	1.59	2.82	1.3e-06	52	1139	185372	8677776	408	fluocinolone acetonide	psoriasis	0.55	0.01	3.1	1	1	154	1906	160820	408	fluocinolone acetonide	psoriasis	25.5	76.4	2.3	0.06	13.92	0.36	1	29	657	43818	408	fluocinolone acetonide	psoriasis	6.35	0.15	43.96	0.16	1	11	303	21178	408	fluocinolone acetonide	psoriasis	0	0	8.64	1	0	29	428	27160	408	fluocinolone acetonide	psoriasis	0.46	1.58407398499448	1.01	0.65	0.01	0	0.01	-0.09	0.08	0.23
409	quinidine	2.06	1.64	2.57	4.2e-09	84	1907	185340	8677008	409	quinidine	affect lability	0.36	0.16	0.78	0.0067	12	503	22	333	409	quinidine	affect lability	31.2	77.1	0.15	0.02	0.8	0.012	3	140	5	34	409	quinidine	affect lability	0.58	0.03	35.57	0.54	2	63	1	18	409	quinidine	affect lability	0.15	0.01	0.93	0.02	2	127	5	46	409	quinidine	affect lability	-1.94	0.143703949777703	0.77	0.01	0.02	0.02	0.26	-0.03	0.72	0.96
410	flurandrenolide	1.91	0.69	4.26	0.14	6	147	185418	8678768	410	flurandrenolide	psoriasis	5.45	0.63	21.45	0.057	2	31	1905	160943	410	flurandrenolide	psoriasis	25.5	76.4	0	0	29.79	1	0	10	658	43837	410	flurandrenolide	psoriasis	0	0	168.65	1	0	3	304	21186	410	flurandrenolide	psoriasis	0	0	44.2	1	0	7	428	27182	410	flurandrenolide	psoriasis	-9.41	8.1900947351399e-05	169.26	0.96	0.01	0	0.01	-0.09	0.08	0.23
411	glycopyrrolate	2.2	1.82	2.64	2.4e-14	122	2598	185302	8676317	411	glycopyrrolate	chronic obstructive pulmonary disease	4	1.96	7.32	0.00017	11	240	940	82064	411	glycopyrrolate	chronic obstructive pulmonary disease	50	81.9	3.46	0.69	10.56	0.061	3	105	161	19478	411	glycopyrrolate	chronic obstructive pulmonary disease	2.43	0.06	14.58	0.34	1	74	54	9728	411	glycopyrrolate	chronic obstructive pulmonary disease	3.78	0.44	14.57	0.1	2	56	128	13536	411	glycopyrrolate	chronic obstructive pulmonary disease	1.24	3.45561346476268	0.59	0.04	-0.03	0.01	0	-0.53	0.16	0
412	sutilains	0	0	113.6	1	0	3	185424	8678912	412	sutilains	hypertension	0	0	98.08	1	0	3	7825	316680	412	sutilains	hypertension	36.8	82.7	0	0	Inf	1	0	0	1102	62507	412	sutilains	hypertension	0	0	Inf	1	0	0	449	31531	412	sutilains	hypertension	0	0	Inf	1	0	0	777	39915	412	sutilains	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
413	dipyridamole	1.09	0.95	1.24	0.22	224	9638	185200	8669277	413	dipyridamole	hypertension	0.84	0.55	1.24	0.46	26	1248	7799	315435	413	dipyridamole	hypertension	36.8	82.7	0	0	1.45	0.19	0	146	1102	62361	413	dipyridamole	hypertension	0	0	3.12	0.64	0	85	449	31446	413	dipyridamole	hypertension	0	0	2.13	0.42	0	91	777	39824	413	dipyridamole	hypertension	-11.38	1.14216486386605e-05	108.59	0.92	-0.02	0	0	-0.33	0.06	0
414	polythiazide	0	0	23.72	1	0	9	185424	8678906	414	polythiazide	coronary artery disease	0	0	2765.33	1	0	1	178	13190	414	polythiazide	coronary artery disease	45.3	85.5	0	0	Inf	1	0	0	32	3410	414	polythiazide	coronary artery disease	0	0	Inf	1	0	0	19	2467	414	polythiazide	coronary artery disease	0	0	Inf	1	0	0	17	1267	414	polythiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
415	stanozolol	0.38	0.01	2.14	0.53	1	124	185423	8678791	415	stanozolol	muscle building therapy	0	0	35.51	1	0	8	3	105	415	stanozolol	muscle building therapy	NA	NA	0	0	Inf	1	0	0	0	0	415	stanozolol	muscle building therapy	0	0	Inf	1	0	3	0	38	415	stanozolol	muscle building therapy	0	0	Inf	1	0	1	0	1	415	stanozolol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
416	uracil mustard	0	0	113.6	1	0	3	185424	8678912	416	uracil mustard	myocardial infarction	0	0	2015.35	1	0	1	186	9923	416	uracil mustard	myocardial infarction	39.7	93	0	0	Inf	1	0	0	32	2342	416	uracil mustard	myocardial infarction	0	0	Inf	1	0	0	20	1489	416	uracil mustard	myocardial infarction	0	0	Inf	1	0	0	18	908	416	uracil mustard	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
417	metyrapone	0.37	0.05	1.37	0.19	2	250	185422	8678665	417	metyrapone	cushing s syndrome	0	0	2.34	0.39	0	78	15	640	417	metyrapone	cushing s syndrome	47	64.5	0	0	48.19	1	0	3	6	103	417	metyrapone	cushing s syndrome	0	0	76.29	1	0	3	2	35	417	metyrapone	cushing s syndrome	0	0	37.55	1	0	6	6	212	417	metyrapone	cushing s syndrome	-15.37	2.11297234592242e-07	2141.57	0.99	0.01	0.03	0.58	0.69	0.84	0.41
419	dromostanolone propionate	0	0	113.6	1	0	3	185424	8678912	419	dromostanolone propionate	drug abuse	0	0	2394.05	1	0	1	74	4718	419	dromostanolone propionate	drug abuse	22.7	72.8	0	0	Inf	1	0	0	18	1030	419	dromostanolone propionate	drug abuse	0	0	Inf	1	0	0	7	597	419	dromostanolone propionate	drug abuse	0	0	Inf	1	0	0	13	670	419	dromostanolone propionate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
420	ipodate sodium	0	0	1774.83	1	0	1	185424	8678914	420	ipodate sodium	chronic obstructive pulmonary disease	0	0	3206.2	1	0	1	951	82303	420	ipodate sodium	chronic obstructive pulmonary disease	50	81.9	0	0	Inf	1	0	0	164	19583	420	ipodate sodium	chronic obstructive pulmonary disease	0	0	Inf	1	0	0	55	9802	420	ipodate sodium	chronic obstructive pulmonary disease	0	0	Inf	1	0	0	130	13592	420	ipodate sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
422	sodium chloride	0.76	0.71	0.81	1.1e-15	785	48406	184639	8630509	422	sodium chloride	prophylaxis	0.69	0.49	0.95	0.022	38	3354	1639	99799	422	sodium chloride	prophylaxis	27	79.5	0.39	0.1	1	0.051	4	828	280	22347	422	sodium chloride	prophylaxis	0.2	0	1.12	0.098	1	532	126	13151	422	sodium chloride	prophylaxis	0.49	0.1	1.46	0.29	3	458	187	13912	422	sodium chloride	prophylaxis	-1.05	0.349937749111155	0.5	0.04	-0.01	0	0.01	-0.33	0.12	0
423	tromethamine	3.03	2.53	3.61	7e-27	135	2087	185289	8676828	423	tromethamine	pain	1.56	1.01	2.33	0.034	26	345	9043	187539	423	tromethamine	pain	25	79	0.66	0.02	3.87	1	1	47	1148	35618	423	tromethamine	pain	0	0	4.98	1	0	29	417	15235	423	tromethamine	pain	3.42	0.38	14.3	0.13	2	18	864	26563	423	tromethamine	pain	0.31	1.36342511413218	0.72	0.67	-0.01	0	0	-0.16	0.06	0.01
424	ethionamide	1.63	0.84	2.89	0.094	12	344	185412	8678571	424	ethionamide	tuberculosis	5.97	1.43	19	0.008	4	175	15	3923	424	ethionamide	tuberculosis	25.4	80.5	14.93	0.25	293.78	0.096	1	29	2	875	424	ethionamide	tuberculosis	25.73	0.32	2024.06	0.075	1	23	1	604	424	ethionamide	tuberculosis	7.92	0.13	156.42	0.17	1	30	2	480	424	ethionamide	tuberculosis	2.8	16.444646771097	1.03	0.01	0.01	0.02	0.56	-0.47	0.93	0.61
425	methoxyflurane	0	0	51.08	1	0	5	185424	8678910	425	methoxyflurane	hiv infection	0	0	2185.14	1	0	1	998	57892	425	methoxyflurane	hiv infection	24	63	0	0	Inf	1	0	0	188	7534	425	methoxyflurane	hiv infection	0	0	Inf	1	0	0	159	5665	425	methoxyflurane	hiv infection	0	0	Inf	1	0	0	55	3424	425	methoxyflurane	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
427	nandrolone decanoate	0.38	0.05	1.37	0.19	2	249	185422	8678666	427	nandrolone decanoate	hiv infection	0	0	5.61	1	0	40	998	57853	427	nandrolone decanoate	hiv infection	24	63	0	0	1525.67	1	0	1	188	7533	427	nandrolone decanoate	hiv infection	0	0	1360.02	1	0	1	159	5664	427	nandrolone decanoate	hiv infection	0	0	Inf	1	0	0	55	3424	427	nandrolone decanoate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
428	cyclothiazide	0	0	70.9	1	0	4	185424	8678911	428	cyclothiazide	hypertension	0	0	1540.39	1	0	1	7825	316682	428	cyclothiazide	hypertension	36.8	82.7	0	0	Inf	1	0	0	1102	62507	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	449	31531	428	cyclothiazide	hypertension	0	0	Inf	1	0	0	777	39915	428	cyclothiazide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
429	triamterene	2.54	2.4	2.69	2e-172	1243	23001	184181	8655914	429	triamterene	hypertension	2.42	2.12	2.75	1.1e-33	259	4417	7566	312266	429	triamterene	hypertension	36.8	82.7	0.8	0.4	1.45	0.58	11	778	1091	61729	429	triamterene	hypertension	1.9	0.61	4.54	0.2	5	186	444	31345	429	triamterene	hypertension	0.53	0.21	1.11	0.12	7	669	770	39246	429	triamterene	hypertension	-0.27	0.763379494336853	0.29	0.36	-0.02	0	0	-0.34	0.06	0
430	metaxalone	4.56	4.21	4.93	8.1e-217	698	7185	184726	8671730	430	metaxalone	pain	4.4	3.76	5.12	3.5e-60	207	992	8862	186892	430	metaxalone	pain	25	79	2.26	1.14	4.06	0.014	12	166	1137	35499	430	metaxalone	pain	2.25	0.45	7.02	0.16	3	49	414	15215	430	metaxalone	pain	2.2	0.98	4.34	0.041	9	126	857	26455	430	metaxalone	pain	0.77	2.15976625378492	0.3	0.01	-0.01	0	0	-0.16	0.06	0.01
431	diazepam	3.21	3.12	3.32	0	4388	64953	181036	8613962	431	diazepam	pain	3.14	2.9	3.38	7.7e-152	840	5924	8229	181960	431	diazepam	pain	25	79	2.46	1.95	3.06	4.4e-13	93	1234	1056	34431	431	diazepam	pain	4.17	2.99	5.72	1.1e-14	49	472	368	14792	431	diazepam	pain	1.62	1.16	2.19	0.0031	46	892	820	25689	431	diazepam	pain	0.82	2.27049983753241	0.11	0	-0.01	0	0	-0.16	0.06	0.01
432	quinethazone	0	0	249.4	1	0	2	185424	8678913	432	quinethazone	pain	0	0	797.91	1	0	1	9069	187883	432	quinethazone	pain	25	79	0	0	Inf	1	0	0	1149	35665	432	quinethazone	pain	0	0	Inf	1	0	0	417	15264	432	quinethazone	pain	0	0	Inf	1	0	0	866	26581	432	quinethazone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
433	phenazopyridine	4.44	3.78	5.2	2.7e-53	171	1802	185253	8677113	433	phenazopyridine	pain	3.26	2.14	4.81	1.4e-07	30	191	9039	187693	433	phenazopyridine	pain	25	79	1.24	0.03	7.6	0.56	1	25	1148	35640	433	phenazopyridine	pain	0	0	40.08	1	0	5	417	15259	433	phenazopyridine	pain	1.46	0.04	9.11	0.51	1	21	865	26560	433	phenazopyridine	pain	0.15	1.16183424272828	1.02	0.88	-0.01	0	0	-0.16	0.06	0.01
434	iothalamate meglumine	0.39	0.01	2.23	0.53	1	119	185423	8678796	434	iothalamate meglumine	computerised tomogram	0	0	68.76	1	0	19	17	4953	434	iothalamate meglumine	computerised tomogram	NA	NA	0	0	Inf	1	0	0	0	0	434	iothalamate meglumine	computerised tomogram	0	0	Inf	1	0	0	0	218	434	iothalamate meglumine	computerised tomogram	0	0	Inf	1	0	0	0	303	434	iothalamate meglumine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
435	phenylephrine bitartrate	7.8	0.17	64.33	0.14	1	6	185423	8678909	435	phenylephrine bitartrate	asthma	0	0	181.46	1	0	2	2950	100466	435	phenylephrine bitartrate	asthma	6	72.9	0	0	Inf	1	0	0	375	16902	435	phenylephrine bitartrate	asthma	0	0	Inf	1	0	0	112	6293	435	phenylephrine bitartrate	asthma	0	0	Inf	1	0	0	311	14709	435	phenylephrine bitartrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
436	iothalamate sodium	0	0	1774.83	1	0	1	185424	8678914	436	iothalamate sodium		0	0	Inf	1	0	0	0	0	436	iothalamate sodium		NA	NA	0	0	Inf	1	0	0	0	0	436	iothalamate sodium		0	0	Inf	1	0	0	0	0	436	iothalamate sodium		0	0	Inf	1	0	0	0	0	436	iothalamate sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
437	acetohexamide	3.6	0.08	23.97	0.26	1	13	185423	8678902	437	acetohexamide	hypertension	0	0	98.08	1	0	3	7825	316680	437	acetohexamide	hypertension	36.8	82.7	0	0	Inf	1	0	0	1102	62507	437	acetohexamide	hypertension	0	0	Inf	1	0	0	449	31531	437	acetohexamide	hypertension	0	0	Inf	1	0	0	777	39915	437	acetohexamide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
438	methyldopa	1.13	0.91	1.4	0.23	90	3721	185334	8675194	438	methyldopa	hypertension	1.07	0.75	1.46	0.67	39	1482	7786	315201	438	methyldopa	hypertension	36.8	82.7	0.52	0.01	2.96	1	1	109	1101	62398	438	methyldopa	hypertension	0	0	4.79	1	0	56	449	31475	438	methyldopa	hypertension	0.25	0.01	1.44	0.19	1	201	776	39714	438	methyldopa	hypertension	-2.28	0.102284206715537	1	0.02	-0.02	0	0	-0.34	0.06	0
439	methyldopate	0.93	0.62	1.35	0.78	28	1408	185396	8677507	439	methyldopate	hypertension	0.67	0.32	1.23	0.24	10	607	7815	316076	439	methyldopate	hypertension	36.8	82.7	1.67	0.04	9.97	0.46	1	34	1101	62473	439	methyldopate	hypertension	0	0	18.27	1	0	16	449	31515	439	methyldopate	hypertension	1.43	0.04	8.5	0.51	1	36	776	39879	439	methyldopate	hypertension	-0.37	0.690734330637355	1.01	0.71	-0.02	0	0	-0.34	0.06	0
440	methixene	0	0	249.4	1	0	2	185424	8678913	440	methixene		0	0	Inf	1	0	0	0	0	440	methixene		NA	NA	0	0	Inf	1	0	0	0	0	440	methixene		0	0	Inf	1	0	0	0	0	440	methixene		0	0	Inf	1	0	0	0	0	440	methixene	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
443	acetylcysteine	1.13	0.95	1.33	0.16	141	5855	185283	8673060	443	acetylcysteine	prophylaxis	2.11	1.14	3.6	0.01	14	409	1663	102744	443	acetylcysteine	prophylaxis	27	79.5	0	0	4.3	1	0	72	284	23103	443	acetylcysteine	prophylaxis	0	0	11.11	1	0	38	127	13645	443	acetylcysteine	prophylaxis	0	0	6.66	1	0	44	190	14326	443	acetylcysteine	prophylaxis	-12.07	5.728825626433e-06	264.22	0.96	-0.01	0	0.01	-0.33	0.12	0
444	piperacetazine	0	0	113.6	1	0	3	185424	8678912	444	piperacetazine	bone marrow conditioning regimen	0	0	728	1	0	3	17	4946	444	piperacetazine	bone marrow conditioning regimen	NA	NA	0	0	Inf	1	0	0	0	0	444	piperacetazine	bone marrow conditioning regimen	0	0	Inf	1	0	0	0	528	444	piperacetazine	bone marrow conditioning regimen	0	0	Inf	1	0	0	0	323	444	piperacetazine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
445	desipramine	2.98	2.29	3.82	6.9e-14	67	1053	185357	8677862	445	desipramine	depression	0.91	0.52	1.51	0.81	17	168	20661	186310	445	desipramine	depression	21	75.4	1.19	0.23	3.91	0.74	3	25	2858	28408	445	desipramine	depression	11.67	0.85	161.11	0.034	2	2	874	10206	445	desipramine	depression	0.37	0.01	2.22	0.51	1	28	2306	23720	445	desipramine	depression	0.11	1.11627807045887	0.61	0.85	-0.01	0	0	-0.14	0.04	0
446	oxandrolone	0.43	0.09	1.27	0.17	3	325	185421	8678590	446	oxandrolone	hiv infection	0	0	2.77	0.65	0	79	998	57814	446	oxandrolone	hiv infection	24	63	0	0	213.98	1	0	2	188	7532	446	oxandrolone	hiv infection	0	0	54.29	1	0	4	159	5661	446	oxandrolone	hiv infection	0	0	Inf	1	0	0	55	3424	446	oxandrolone	hiv infection	-9.99	4.58562066422073e-05	267.71	0.97	0	0	0.98	0.56	0.16	0
448	idoxuridine	0	0	12.13	1	0	16	185424	8678899	448	idoxuridine	hiv infection	0	0	309.21	1	0	2	998	57891	448	idoxuridine	hiv infection	24	63	0	0	Inf	1	0	0	188	7534	448	idoxuridine	hiv infection	0	0	Inf	1	0	0	159	5665	448	idoxuridine	hiv infection	0	0	Inf	1	0	0	55	3424	448	idoxuridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
450	ethylestrenol	0	0	16.84	1	0	12	185424	8678903	450	ethylestrenol	prophylaxis	0	0	36.09	1	0	8	1677	103145	450	ethylestrenol	prophylaxis	27	79.5	0	0	Inf	1	0	0	284	23175	450	ethylestrenol	prophylaxis	0	0	Inf	1	0	0	127	13683	450	ethylestrenol	prophylaxis	0	0	Inf	1	0	0	190	14370	450	ethylestrenol	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
451	vincristine	0.36	0.32	0.4	2.4e-100	308	39816	185116	8639099	451	vincristine	diffuse large b-cell lymphoma	0.94	0.38	2.57	1	15	6283	8	3164	451	vincristine	diffuse large b-cell lymphoma	30	79.5	3.05	0.3	150.55	0.4	4	1114	1	851	451	vincristine	diffuse large b-cell lymphoma	0.82	0.06	11.31	1	2	691	2	565	451	vincristine	diffuse large b-cell lymphoma	Inf	0.31	Inf	0.27	3	593	0	441	451	vincristine	diffuse large b-cell lymphoma	0.66	1.93479233440203	0.84	0.43	-0.01	0.02	0.61	0.13	0.77	0.87
452	pralidoxime chloride	0	0	8.14	1	0	23	185424	8678892	452	pralidoxime chloride	sedative therapy	0	0	189.34	1	0	2	62	2187	452	pralidoxime chloride	sedative therapy	37.9	80.3	0	0	Inf	1	0	0	15	345	452	pralidoxime chloride	sedative therapy	0	0	Inf	1	0	0	2	232	452	pralidoxime chloride	sedative therapy	0	0	Inf	1	0	0	15	284	452	pralidoxime chloride	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
453	nalidixic acid	0	0	4.64	1	0	39	185424	8678876	453	nalidixic acid	rheumatoid arthritis	0	0	104.86	1	0	5	4787	458995	453	nalidixic acid	rheumatoid arthritis	34.5	75.7	0	0	3172.57	1	0	1	1337	114432	453	nalidixic acid	rheumatoid arthritis	0	0	Inf	1	0	0	248	25323	453	nalidixic acid	rheumatoid arthritis	0	0	3220.6	1	0	1	1239	107735	453	nalidixic acid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
454	chlorphenesin carbamate	0	0	4.64	1	0	39	185424	8678876	454	chlorphenesin carbamate	rheumatoid arthritis	0	0	38.23	1	0	11	4787	458989	454	chlorphenesin carbamate	rheumatoid arthritis	34.5	75.7	0	0	Inf	1	0	0	1337	114433	454	chlorphenesin carbamate	rheumatoid arthritis	0	0	Inf	1	0	0	248	25323	454	chlorphenesin carbamate	rheumatoid arthritis	0	0	Inf	1	0	0	1239	107736	454	chlorphenesin carbamate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
455	nonoxynol-9	0	0	20.87	1	0	10	185424	8678905	455	nonoxynol-9	contraception	0	0	16.63	1	0	7	6271	150357	455	nonoxynol-9	contraception	19	42	0	0	Inf	1	0	0	1546	23858	455	nonoxynol-9	contraception	0	0	Inf	1	0	0	1	21	455	nonoxynol-9	contraception	0	0	Inf	1	0	0	1760	29084	455	nonoxynol-9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
456	betamethasone acetate	1.18	0.5	2.35	0.56	8	318	185416	8678597	456	betamethasone acetate	intervertebral disc protrusion	0	0	3.97	0.62	0	14	226	2951	456	betamethasone acetate	intervertebral disc protrusion	26.9	67.4	0	0	Inf	1	0	0	26	538	456	betamethasone acetate	intervertebral disc protrusion	0	0	Inf	1	0	0	8	208	456	betamethasone acetate	intervertebral disc protrusion	0	0	761.97	1	0	1	22	434	456	betamethasone acetate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
457	betamethasone sodium phosphate	1.09	0.81	1.44	0.55	50	2147	185374	8676768	457	betamethasone sodium phosphate	adverse event	0	0	34.48	1	0	8	19	1040	457	betamethasone sodium phosphate	adverse event	34.5	75.5	0	0	72.72	1	0	5	5	260	457	betamethasone sodium phosphate	adverse event	0	0	1342.75	1	0	6	1	210	457	betamethasone sodium phosphate	adverse event	0	0	Inf	1	0	0	5	156	457	betamethasone sodium phosphate	adverse event	-12.22	4.93084591221916e-06	1615.07	0.99	0	0.02	0.92	-1.91	1.1	0.08
458	nortriptyline	3.95	3.69	4.23	1.2e-243	920	10933	184504	8667982	458	nortriptyline	depression	1.47	1.26	1.71	1.5e-06	202	1245	20476	185233	458	nortriptyline	depression	21	75.4	1.16	0.73	1.79	0.49	24	205	2837	28228	458	nortriptyline	depression	2.42	1.25	4.37	0.0058	14	68	862	10140	458	nortriptyline	depression	0.63	0.29	1.18	0.18	10	164	2297	23584	458	nortriptyline	depression	0.12	1.12749685157938	0.22	0.59	-0.01	0	0	-0.14	0.04	0
459	melphalan	1.04	0.93	1.15	0.51	374	16911	185050	8662004	459	melphalan	multiple myeloma	2.62	2.18	3.14	1.1e-21	153	4834	642	53151	459	melphalan	multiple myeloma	NA	NA	0	0	Inf	1	0	0	0	0	459	melphalan	multiple myeloma	0	0	Inf	1	0	0	0	0	459	melphalan	multiple myeloma	0	0	Inf	1	0	0	0	0	459	melphalan	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
460	chlorphentermine	1.77	0.21	6.7	0.32	2	53	185422	8678862	460	chlorphentermine	premedication	0	0	94.85	1	0	4	454	28401	460	chlorphentermine	premedication	26.8	74	0	0	1936.34	1	0	1	101	5170	460	chlorphentermine	premedication	0	0	Inf	1	0	0	37	2812	460	chlorphentermine	premedication	0	0	1978.59	1	0	1	77	4030	460	chlorphentermine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
461	estrogens, esterified	1.94	1.45	2.55	1.5e-05	54	1300	185370	8677615	461	estrogens, esterified	hormone replacement therapy	1.67	1.09	2.48	0.016	27	552	1142	39084	461	estrogens, esterified	hormone replacement therapy	33.6	80	0	0	5.53	1	0	17	139	3134	461	estrogens, esterified	hormone replacement therapy	0	0	Inf	1	0	0	68	1172	461	estrogens, esterified	hormone replacement therapy	0	0	5.35	1	0	19	88	2153	461	estrogens, esterified	hormone replacement therapy	-12.25	4.78511739212901e-06	333.5	0.97	-0.01	0.01	0.04	0.33	0.17	0.05
462	prilocaine	1.04	0.84	1.28	0.71	93	4188	185331	8674727	462	prilocaine	immunodeficiency common variable	0.61	0.12	1.97	0.61	3	923	29	5438	462	prilocaine	immunodeficiency common variable	26.7	68	0	0	3.54	0.61	0	147	10	1154	462	prilocaine	immunodeficiency common variable	Inf	0.17	Inf	0.13	1	57	0	376	462	prilocaine	immunodeficiency common variable	0	0	2.52	0.38	0	204	11	1277	462	prilocaine	immunodeficiency common variable	-0.51	0.600495578812266	1.05	0.63	-0.01	0.02	0.64	-1.23	1.06	0.24
463	doxapram	0	0	2.69	0.65	0	66	185424	8678849	463	doxapram	pneumonia	0	0	47.29	1	0	6	320	17734	463	doxapram	pneumonia	42	76.5	0	0	Inf	1	0	0	31	1918	463	doxapram	pneumonia	0	0	Inf	1	0	0	8	1636	463	doxapram	pneumonia	0	0	Inf	1	0	0	36	1733	463	doxapram	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
464	mefenamic acid	1.22	0.88	1.64	0.21	44	1694	185380	8677221	464	mefenamic acid	pain	0.88	0.32	1.97	1	6	141	9063	187743	464	mefenamic acid	pain	25	79	0.97	0.02	5.82	1	1	32	1148	35633	464	mefenamic acid	pain	2.44	0.06	15.95	0.35	1	15	416	15249	464	mefenamic acid	pain	0	0	5.35	1	0	23	866	26558	464	mefenamic acid	pain	-0.23	0.794533602503334	1.01	0.82	-0.01	0	0	-0.16	0.06	0.01
465	aminocaproic acid	4.3	3.42	5.34	6.1e-28	90	981	185334	8677934	465	aminocaproic acid	coronary artery bypass	1.29	0.93	1.77	0.12	62	132	1247	3425	465	aminocaproic acid	coronary artery bypass	82.5	83	0	0	Inf	1	0	0	0	0	465	aminocaproic acid	coronary artery bypass	0	0	Inf	1	0	0	2	191	465	aminocaproic acid	coronary artery bypass	0	0	694.39	1	0	1	2	35	465	aminocaproic acid	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
466	iodohippurate sodium i-131	0	0	249.4	1	0	2	185424	8678913	466	iodohippurate sodium i-131	hyperthyroidism	0	0	1403.39	1	0	1	105	3862	466	iodohippurate sodium i-131	hyperthyroidism	34.5	72.8	0	0	Inf	1	0	0	17	574	466	iodohippurate sodium i-131	hyperthyroidism	0	0	Inf	1	0	0	2	248	466	iodohippurate sodium i-131	hyperthyroidism	0	0	Inf	1	0	0	17	671	466	iodohippurate sodium i-131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
467	tolazamide	2.75	0.99	6.2	0.026	6	102	185418	8678813	467	tolazamide	diabetes mellitus	16.62	3.08	58.7	0.0012	3	15	2915	242292	467	tolazamide	diabetes mellitus	39.8	79	0	0	604.04	1	0	2	439	50026	467	tolazamide	diabetes mellitus	0	0	835.13	1	0	2	191	29691	467	tolazamide	diabetes mellitus	0	0	Inf	1	0	0	299	28184	467	tolazamide	diabetes mellitus	-7.41	0.000605170694535053	229.63	0.97	-0.01	0	0	-0.5	0.09	0
468	oxazepam	1.67	1.47	1.88	7.9e-15	279	7833	185145	8671082	468	oxazepam	depression	0.73	0.55	0.95	0.02	59	728	20619	185750	468	oxazepam	depression	21	75.4	0.94	0.39	1.93	1	8	85	2853	28348	468	oxazepam	depression	1.23	0.32	3.42	0.57	4	38	872	10170	468	oxazepam	depression	0.99	0.38	2.14	1	7	73	2300	23675	468	oxazepam	depression	0.08	1.08328706767496	0.32	0.81	-0.01	0	0	-0.14	0.04	0
