results.N	results.drug	results.ROR	results.CI_low	results.CI_up	results.pval	results.DrugReac	results.DrugNoReac	results.NoDrugReac	results.NoDrugNoReac	results_indication.N	results_indication.drug	results_indication.indication	results_indication.ROR	results_indication.CI_low	results_indication.CI_up	results_indication.pval	results_indication.DrugReac	results_indication.DrugNoReac	results_indication.NoDrugReac	results_indication.NoDrugNoReac	results_age.N	results_age.drug	results_age.indication	results_age.min_age	results_age.max_age	results_age.ROR	results_age.CI_low	results_age.CI_up	results_age.pval	results_age.DrugReac	results_age.DrugNoReac	results_age.NoDrugReac	results_age.NoDrugNoReac	results_male.N	results_male.drug	results_male.indication	results_male.ROR	results_male.CI_low	results_male.CI_up	results_male.pval	results_male.DrugReac	results_male.DrugNoReac	results_male.NoDrugReac	results_male.NoDrugNoReac	results_female.N	results_female.drug	results_female.indication	results_female.ROR	results_female.CI_low	results_female.CI_up	results_female.pval	results_female.DrugReac	results_female.DrugNoReac	results_female.NoDrugReac	results_female.NoDrugNoReac	results_logReg.N	results_logReg.drug	results_logReg.indication	results_logReg.logOR_Drug	results_logReg.OR_Drug	results_logReg.SE_Drug	results_logReg.pval_Drug	results_logReg.logOR_Age	results_logReg.SE_Age	results_logReg.pval_Age	results_logReg.logOR_Sex	results_logReg.SE_Sex	results_logReg.pval_Sex	count	count_change	count_label
979	tiopronin	0	0	2.13	0.43	0	713	21580	8842046	979	tiopronin	rheumatoid arthritis	0	0	154.12	1	0	72	160	463555	979	tiopronin	rheumatoid arthritis	27.2	69.2	0	0	Inf	1	0	0	35	105678	979	tiopronin	rheumatoid arthritis	0	0	Inf	1	0	0	5	25566	979	tiopronin	rheumatoid arthritis	0	0	Inf	1	0	0	34	108941	979	tiopronin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	432	393
1915	tocilizumab	0.3	0.17	0.5	1.4e-08	15	20370	21565	8822389	1915	tocilizumab	rheumatoid arthritis	2.6	1.38	4.5	0.0019	14	16519	146	447108	1915	tocilizumab	rheumatoid arthritis	27.2	69.2	3.05	0.78	8.63	0.052	4	4290	31	101388	1915	tocilizumab	rheumatoid arthritis	5.37	0.11	54.35	0.2	1	1137	4	24429	1915	tocilizumab	rheumatoid arthritis	3.02	0.77	8.59	0.054	4	4599	30	104342	1915	tocilizumab	rheumatoid arthritis	1.2	3.32011692273655	0.48	0.01	-0.03	0.01	0	-0.4	0.48	0.4	78	432	393
2020	tofacitinib citrate	0.04	0	0.15	1.1e-18	2	20237	21578	8822522	2020	tofacitinib citrate	rheumatoid arthritis	0.21	0.01	1.17	0.097	1	13707	159	449920	2020	tofacitinib citrate	rheumatoid arthritis	27.2	69.2	0.36	0.01	2.13	0.52	1	8034	34	97644	2020	tofacitinib citrate	rheumatoid arthritis	0	0	15.43	1	0	1689	5	23877	2020	tofacitinib citrate	rheumatoid arthritis	0.35	0.01	2.07	0.52	1	8763	33	100178	2020	tofacitinib citrate	rheumatoid arthritis	-1.06	0.346455810330057	1.01	0.3	-0.03	0.01	0	-0.41	0.48	0.39	78	432	393
657	tolmetin sodium	0	0	9.44	1	0	162	21580	8842597	657	tolmetin sodium	rheumatoid arthritis	0	0	471.77	1	0	25	160	463602	657	tolmetin sodium	rheumatoid arthritis	27.2	69.2	0	0	4.5036e+15	1	0	1	35	105677	657	tolmetin sodium	rheumatoid arthritis	0	0	Inf	1	0	0	5	25566	657	tolmetin sodium	rheumatoid arthritis	0	0	4.5036e+15	1	0	1	34	108940	657	tolmetin sodium	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	78	432	393
324	triamcinolone diacetate	0	0	1.65	0.18	0	916	21580	8841843	324	triamcinolone diacetate	rheumatoid arthritis	0	0	100	1	0	110	160	463517	324	triamcinolone diacetate	rheumatoid arthritis	27.2	69.2	0	0	5984.89	1	0	4	35	105674	324	triamcinolone diacetate	rheumatoid arthritis	0	0	4.5036e+15	1	0	2	5	25564	324	triamcinolone diacetate	rheumatoid arthritis	0	0	1987.44	1	0	8	34	108933	324	triamcinolone diacetate	rheumatoid arthritis	-7.05	0.000867408957307003	455.89	0.99	-0.03	0.01	0	-0.4	0.48	0.4	78	432	393
1338	abacavir	0.94	0.64	1.32	0.8	32	13982	21548	8828777	1338	abacavir	hiv infection	1.76	1.08	2.78	0.016	26	9692	75	49098	1338	abacavir	hiv infection	26.2	56.8	2.03	0.57	6.1	0.19	5	1038	13	5492	1338	abacavir	hiv infection	1.35	0.32	4.39	0.54	4	1076	13	4731	1338	abacavir	hiv infection	1.31	0.03	13.24	0.58	1	558	4	2916	1338	abacavir	hiv infection	0.29	1.33642748802547	0.51	0.57	-0.02	0.01	0.16	0.86	0.52	0.1	65	497	464
1246	albendazole	0	0	1.68	0.29	0	904	21580	8841855	1246	albendazole	hiv infection	0	0	36.28	1	0	62	101	58728	1246	albendazole	hiv infection	26.2	56.8	0	0	60.59	1	0	26	18	6504	1246	albendazole	hiv infection	0	0	80.25	1	0	19	17	5788	1246	albendazole	hiv infection	0	0	633.8	1	0	7	5	3467	1246	albendazole	hiv infection	-11.71	8.21129428125349e-06	770.14	0.99	-0.02	0.01	0.16	0.87	0.52	0.09	65	497	464
1348	amprenavir	1.64	0.2	5.96	0.34	2	499	21578	8842260	1348	amprenavir	hiv infection	3.29	0.39	12.28	0.13	2	359	99	58431	1348	amprenavir	hiv infection	26.2	56.8	0	0	129.43	1	0	13	18	6517	1348	amprenavir	hiv infection	0	0	165.93	1	0	10	17	5797	1348	amprenavir	hiv infection	0	0	379.95	1	0	11	5	3463	1348	amprenavir	hiv infection	-11.42	1.09737993897335e-05	855.95	0.99	-0.02	0.01	0.16	0.86	0.52	0.1	65	497	464
1501	atazanavir	0.54	0.32	0.84	0.004	19	14451	21561	8828308	1501	atazanavir	hiv infection	0.82	0.42	1.48	0.58	13	8971	88	49819	1501	atazanavir	hiv infection	26.2	56.8	0.32	0.01	2.02	0.34	1	1024	17	5506	1501	atazanavir	hiv infection	0	0	1.89	0.25	0	661	17	5146	1501	atazanavir	hiv infection	0.96	0.02	9.7	1	1	719	4	2755	1501	atazanavir	hiv infection	-1.2	0.301194211912202	1.03	0.24	-0.02	0.01	0.16	0.78	0.52	0.13	65	497	464
1133	atovaquone	2.27	1.44	3.41	4e-04	23	4154	21557	8838605	1133	atovaquone	hiv infection	5.79	1.54	15.4	0.006	4	416	97	58374	1133	atovaquone	hiv infection	26.2	56.8	0	0	50.24	1	0	31	18	6499	1133	atovaquone	hiv infection	0	0	37.34	1	0	39	17	5768	1133	atovaquone	hiv infection	0	0	758.74	1	0	6	5	3468	1133	atovaquone	hiv infection	-12.81	2.73330242596469e-06	960.1	0.99	-0.02	0.01	0.15	0.87	0.52	0.09	65	497	464
1796	azithromycin	1.67	1.41	1.97	1.4e-08	145	35677	21435	8807082	1796	azithromycin	hiv infection	1.4	0.37	3.72	0.54	4	1678	97	57112	1796	azithromycin	hiv infection	26.2	56.8	0	0	12.75	1	0	116	18	6414	1796	azithromycin	hiv infection	0	0	14.5	1	0	97	17	5710	1796	azithromycin	hiv infection	0	0	93.91	1	0	41	5	3433	1796	azithromycin	hiv infection	-13.62	1.21593163161713e-06	906.36	0.99	-0.02	0.01	0.15	0.87	0.52	0.09	65	497	464
1816	azithromycin dihydrate	8.2	0.2	47.83	0.12	1	50	21579	8842709	1816	azithromycin dihydrate	hiv infection	48.89	1.13	336.08	0.022	1	12	100	58778	1816	azithromycin dihydrate	hiv infection	26.2	56.8	0	0	Inf	1	0	0	18	6530	1816	azithromycin dihydrate	hiv infection	0	0	Inf	1	0	0	17	5807	1816	azithromycin dihydrate	hiv infection	0	0	Inf	1	0	0	5	3474	1816	azithromycin dihydrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1238	cidofovir	0	0	2.5	0.41	0	606	21580	8842153	1238	cidofovir	hiv infection	0	0	25.94	1	0	86	101	58704	1238	cidofovir	hiv infection	26.2	56.8	0	0	Inf	1	0	0	18	6530	1238	cidofovir	hiv infection	0	0	Inf	1	0	0	17	5807	1238	cidofovir	hiv infection	0	0	Inf	1	0	0	5	3474	1238	cidofovir	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
2013	cobicistat	1.69	0.73	3.34	0.16	8	1936	21572	8840823	2013	cobicistat	hiv infection	3.43	1.23	7.78	0.01	6	1062	95	57728	2013	cobicistat	hiv infection	26.2	56.8	3.73	0.89	11.95	0.035	4	464	14	6066	2013	cobicistat	hiv infection	4.78	1.31	14.67	0.0092	5	465	12	5342	2013	cobicistat	hiv infection	4.07	0.08	41.36	0.26	1	201	4	3273	2013	cobicistat	hiv infection	1.53	4.61817682229978	0.48	0	-0.02	0.01	0.17	0.79	0.52	0.13	65	497	464
1536	dapsone	1.04	0.52	1.86	0.88	11	4330	21569	8838429	1536	dapsone	hiv infection	3.46	0.92	9.18	0.032	4	693	97	58097	1536	dapsone	hiv infection	26.2	56.8	0	0	58.17	1	0	27	18	6503	1536	dapsone	hiv infection	0	0	51.03	1	0	29	17	5778	1536	dapsone	hiv infection	0	0	553.71	1	0	8	5	3466	1536	dapsone	hiv infection	-11.61	9.07488363940224e-06	644.73	0.99	-0.02	0.01	0.16	0.87	0.52	0.09	65	497	464
1983	darunavir	0	0	0.36	6e-05	0	4188	21580	8838571	1983	darunavir	hiv infection	0	0	0.66	0.0067	0	3117	101	55673	1983	darunavir	hiv infection	26.2	56.8	0	0	4.19	1	0	338	18	6192	1983	darunavir	hiv infection	0	0	4.55	1	0	295	17	5512	1983	darunavir	hiv infection	0	0	22.33	1	0	163	5	3311	1983	darunavir	hiv infection	-14.53	4.89441936494637e-07	819.54	0.99	-0.02	0.01	0.17	0.87	0.52	0.09	65	497	464
1570	darunavir ethanolate	0.59	0.28	1.08	0.11	10	6956	21570	8835803	1570	darunavir ethanolate	hiv infection	0.58	0.18	1.4	0.28	5	4854	96	53936	1570	darunavir ethanolate	hiv infection	26.2	56.8	1.53	0.28	5.43	0.46	3	754	15	5776	1570	darunavir ethanolate	hiv infection	1.38	0.25	4.97	0.49	3	779	14	5028	1570	darunavir ethanolate	hiv infection	0	0	10.16	1	0	338	5	3136	1570	darunavir ethanolate	hiv infection	0.09	1.09417428370521	0.62	0.89	-0.02	0.01	0.16	0.86	0.52	0.1	65	497	464
2114	darunavir hydrate	0	0	15.72	1	0	98	21580	8842661	2114	darunavir hydrate	hiv infection	0	0	29.85	1	0	75	101	58715	2114	darunavir hydrate	hiv infection	26.2	56.8	0	0	Inf	1	0	0	18	6530	2114	darunavir hydrate	hiv infection	0	0	Inf	1	0	0	17	5807	2114	darunavir hydrate	hiv infection	0	0	Inf	1	0	0	5	3474	2114	darunavir hydrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1260	delavirdine mesylate	7.07	1.44	20.99	0.0096	3	174	21577	8842585	1260	delavirdine mesylate	hiv infection	5.7	0.14	33.18	0.16	1	103	100	58687	1260	delavirdine mesylate	hiv infection	26.2	56.8	0	0	72.41	1	0	22	18	6508	1260	delavirdine mesylate	hiv infection	0	0	65.33	1	0	23	17	5784	1260	delavirdine mesylate	hiv infection	0	0	4321.89	1	0	2	5	3472	1260	delavirdine mesylate	hiv infection	-11.55	9.63604310396385e-06	789.54	0.99	-0.02	0.01	0.16	0.87	0.52	0.09	65	497	464
1101	didanosine	0.62	0.31	1.11	0.12	11	7301	21569	8835458	1101	didanosine	hiv infection	0.32	0.06	0.96	0.034	3	5129	98	53661	1101	didanosine	hiv infection	26.2	56.8	0	0	5.07	1	0	282	18	6248	1101	didanosine	hiv infection	0	0	8.26	1	0	167	17	5640	1101	didanosine	hiv infection	0	0	16.47	1	0	217	5	3257	1101	didanosine	hiv infection	-14.54	4.84571907856387e-07	892.97	0.99	-0.02	0.01	0.14	0.84	0.52	0.11	65	497	464
2168	dolutegravir	0.57	0.01	3.19	1	1	717	21579	8842042	2168	dolutegravir	hiv infection	1.02	0.03	5.82	0.63	1	572	100	58218	2168	dolutegravir	hiv infection	26.2	56.8	0	0	6.57	1	0	220	18	6310	2168	dolutegravir	hiv infection	1.48	0.04	9.58	0.51	1	236	16	5571	2168	dolutegravir	hiv infection	0	0	39.3	1	0	95	5	3379	2168	dolutegravir	hiv infection	0.19	1.20924959765725	1.03	0.86	-0.02	0.01	0.16	0.86	0.52	0.1	65	497	464
2067	dolutegravir sodium	1.67	0.8	3.09	0.1	10	2448	21570	8840311	2067	dolutegravir sodium	hiv infection	3.93	1.82	7.58	0.00046	10	1600	91	57190	2067	dolutegravir sodium	hiv infection	26.2	56.8	6.99	2.39	19.75	0.00022	8	670	10	5860	2067	dolutegravir sodium	hiv infection	5.97	2	17.5	0.00066	8	752	9	5055	2067	dolutegravir sodium	hiv infection	0	0	13.33	1	0	264	5	3210	2067	dolutegravir sodium	hiv infection	1.52	4.57222519514216	0.45	0	-0.02	0.01	0.11	0.73	0.52	0.16	65	497	464
860	econazole nitrate	4.48	1.79	9.28	0.0012	7	641	21573	8842118	860	econazole nitrate	hiv infection	0	0	94.09	1	0	25	101	58765	860	econazole nitrate	hiv infection	26.2	56.8	0	0	11587	1	0	1	18	6529	860	econazole nitrate	hiv infection	0	0	Inf	1	0	0	17	5807	860	econazole nitrate	hiv infection	0	0	16384	1	0	1	5	3473	860	econazole nitrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1336	efavirenz	1.07	0.78	1.44	0.64	44	16850	21536	8825909	1336	efavirenz	hiv infection	1.04	0.6	1.71	0.9	20	11305	81	47485	1336	efavirenz	hiv infection	26.2	56.8	0.47	0.05	1.98	0.4	2	1382	16	5148	1336	efavirenz	hiv infection	0	0	1.05	0.056	0	1093	17	4714	1336	efavirenz	hiv infection	5.27	0.6	63.29	0.076	3	769	2	2705	1336	efavirenz	hiv infection	-0.48	0.618783391806141	0.62	0.44	-0.02	0.01	0.15	0.86	0.52	0.1	65	497	464
2012	elvitegravir	1.94	0.84	3.83	0.075	8	1690	21572	8841069	2012	elvitegravir	hiv infection	4.01	1.43	9.09	0.0051	6	911	95	57879	2012	elvitegravir	hiv infection	26.2	56.8	4.29	1.02	13.73	0.023	4	408	14	6122	2012	elvitegravir	hiv infection	5.52	1.52	16.95	0.0052	5	407	12	5400	2012	elvitegravir	hiv infection	4.91	0.1	50.03	0.22	1	168	4	3306	2012	elvitegravir	hiv infection	1.7	5.4739473917272	0.48	0	-0.02	0.01	0.15	0.78	0.52	0.13	65	497	464
1490	emtricitabine	1.05	0.84	1.31	0.61	82	31918	21498	8810841	1490	emtricitabine	hiv infection	2.07	1.37	3.12	0.00033	53	20477	48	38313	1490	emtricitabine	hiv infection	26.2	56.8	2.34	0.78	8.41	0.1	13	3434	5	3096	1490	emtricitabine	hiv infection	2.09	0.68	7.57	0.22	12	3106	5	2701	1490	emtricitabine	hiv infection	4.65	0.46	228.99	0.19	4	1606	1	1868	1490	emtricitabine	hiv infection	0.92	2.5092903899363	0.48	0.06	-0.02	0.01	0.15	0.8	0.52	0.12	65	497	464
1485	enfuvirtide	1.33	0.66	2.39	0.3	11	3385	21569	8839374	1485	enfuvirtide	hiv infection	1.7	0.61	3.84	0.18	6	2111	95	56679	1485	enfuvirtide	hiv infection	26.2	56.8	0	0	27.07	1	0	56	18	6474	1485	enfuvirtide	hiv infection	0	0	29.43	1	0	49	17	5758	1485	enfuvirtide	hiv infection	0	0	199.2	1	0	20	5	3454	1485	enfuvirtide	hiv infection	-12.56	3.50962978643293e-06	779.76	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
1613	etravirine	0.11	0	0.63	0.0033	1	3613	21579	8839146	1613	etravirine	hiv infection	0	0	0.78	0.015	0	2679	101	56111	1613	etravirine	hiv infection	26.2	56.8	0	0	5.17	1	0	277	18	6253	1613	etravirine	hiv infection	0	0	4.65	1	0	289	17	5518	1613	etravirine	hiv infection	0	0	35.71	1	0	104	5	3370	1613	etravirine	hiv infection	-14.52	4.94360909734407e-07	887.09	0.99	-0.02	0.01	0.18	0.88	0.52	0.09	65	497	464
1140	ferric ammonium citrate	0	0	53.65	1	0	30	21580	8842729	1140	ferric ammonium citrate	hiv infection	0	0	645.05	1	0	5	101	58785	1140	ferric ammonium citrate	hiv infection	26.2	56.8	0	0	Inf	1	0	0	18	6530	1140	ferric ammonium citrate	hiv infection	0	0	Inf	1	0	0	17	5807	1140	ferric ammonium citrate	hiv infection	0	0	Inf	1	0	0	5	3474	1140	ferric ammonium citrate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1496	fosamprenavir calcium	2.13	0.78	4.65	0.067	6	1155	21574	8841604	1496	fosamprenavir calcium	hiv infection	3.09	0.82	8.19	0.045	4	775	97	58015	1496	fosamprenavir calcium	hiv infection	26.2	56.8	0	0	65.96	1	0	24	18	6506	1496	fosamprenavir calcium	hiv infection	0	0	46.01	1	0	32	17	5775	1496	fosamprenavir calcium	hiv infection	0	0	189.13	1	0	21	5	3453	1496	fosamprenavir calcium	hiv infection	-12.56	3.50962978643293e-06	881.76	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
1080	foscarnet sodium	0	0	1.5	0.19	0	1007	21580	8841752	1080	foscarnet sodium	hiv infection	0	0	13.2	1	0	167	101	58623	1080	foscarnet sodium	hiv infection	26.2	56.8	0	0	129.43	1	0	13	18	6517	1080	foscarnet sodium	hiv infection	0	0	104.46	1	0	15	17	5792	1080	foscarnet sodium	hiv infection	0	0	16384	1	0	1	5	3473	1080	foscarnet sodium	hiv infection	-11.58	9.35125499132263e-06	984	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
1743	griseofulvin	5.06	1.04	14.96	0.023	3	243	21577	8842516	1743	griseofulvin	hiv infection	0	0	344.13	1	0	8	101	58782	1743	griseofulvin	hiv infection	26.2	56.8	0	0	576.7	1	0	4	18	6526	1743	griseofulvin	hiv infection	0	0	880.5	1	0	3	17	5804	1743	griseofulvin	hiv infection	0	0	16384	1	0	1	5	3473	1743	griseofulvin	hiv infection	-9.85	5.27471930155139e-05	722.35	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
1837	griseofulvin, microsize	5.49	1.12	16.24	0.019	3	224	21577	8842535	1837	griseofulvin, microsize	hiv infection	0	0	344.13	1	0	8	101	58782	1837	griseofulvin, microsize	hiv infection	26.2	56.8	0	0	576.7	1	0	4	18	6526	1837	griseofulvin, microsize	hiv infection	0	0	880.5	1	0	3	17	5804	1837	griseofulvin, microsize	hiv infection	0	0	16384	1	0	1	5	3473	1837	griseofulvin, microsize	hiv infection	-9.85	5.27471930155139e-05	722.35	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
715	hydrocortisone valerate	31.81	18.82	50.78	5.4e-22	19	245	21561	8842514	715	hydrocortisone valerate	hiv infection	0	0	234.6	1	0	11	101	58779	715	hydrocortisone valerate	hiv infection	26.2	56.8	0	0	Inf	1	0	0	18	6530	715	hydrocortisone valerate	hiv infection	0	0	Inf	1	0	0	17	5807	715	hydrocortisone valerate	hiv infection	0	0	Inf	1	0	0	5	3474	715	hydrocortisone valerate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
448	idoxuridine	0	0	106.5	1	0	16	21580	8842743	448	idoxuridine	hiv infection	0	0	3242.74	1	0	2	101	58788	448	idoxuridine	hiv infection	26.2	56.8	0	0	Inf	1	0	0	18	6530	448	idoxuridine	hiv infection	0	0	Inf	1	0	0	17	5807	448	idoxuridine	hiv infection	0	0	Inf	1	0	0	5	3474	448	idoxuridine	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1251	indinavir	0.46	0.06	1.67	0.46	2	1776	21578	8840983	1251	indinavir	hiv infection	0	0	1.74	0.28	0	1231	101	57559	1251	indinavir	hiv infection	26.2	56.8	0	0	18.02	1	0	83	18	6447	1251	indinavir	hiv infection	0	0	20.93	1	0	68	17	5739	1251	indinavir	hiv infection	0	0	98.95	1	0	39	5	3435	1251	indinavir	hiv infection	-13.59	1.25296226277737e-06	1023.25	0.99	-0.02	0.01	0.15	0.87	0.52	0.09	65	497	464
1208	lamivudine	0.52	0.38	0.68	3.7e-07	49	38746	21531	8804013	1208	lamivudine	hiv infection	0.64	0.4	1	0.042	30	23313	71	35477	1208	lamivudine	hiv infection	26.2	56.8	0.96	0.27	2.88	1	5	1866	13	4664	1208	lamivudine	hiv infection	0.85	0.2	2.74	1	4	1550	13	4257	1208	lamivudine	hiv infection	0.45	0.01	4.59	0.66	1	1234	4	2240	1208	lamivudine	hiv infection	-0.39	0.677056874498165	0.51	0.45	-0.02	0.01	0.14	0.84	0.52	0.11	65	497	464
1416	lopinavir	1.15	0.85	1.51	0.33	51	18212	21529	8824547	1416	lopinavir	hiv infection	1.22	0.73	1.96	0.38	23	11443	78	47347	1416	lopinavir	hiv infection	26.2	56.8	0.49	0.01	3.11	0.71	1	706	17	5824	1416	lopinavir	hiv infection	0.67	0.02	4.35	1	1	493	16	5314	1416	lopinavir	hiv infection	0	0	6.54	1	0	498	5	2976	1416	lopinavir	hiv infection	-0.9	0.406569659740599	1.03	0.38	-0.02	0.01	0.14	0.83	0.52	0.11	65	497	464
1603	maraviroc	0	0	0.67	0.0084	0	2245	21580	8840514	1603	maraviroc	hiv infection	0	0	1.24	0.12	0	1708	101	57082	1603	maraviroc	hiv infection	26.2	56.8	0	0	10.99	1	0	134	18	6396	1603	maraviroc	hiv infection	0	0	8.01	1	0	172	17	5635	1603	maraviroc	hiv infection	0	0	83.13	1	0	46	5	3428	1603	maraviroc	hiv infection	-13.55	1.30409662275516e-06	722.04	0.99	-0.02	0.01	0.17	0.88	0.52	0.09	65	497	464
425	methoxyflurane	0	0	446.6	1	0	5	21580	8842754	425	methoxyflurane	hiv infection	0	0	16384	1	0	1	101	58789	425	methoxyflurane	hiv infection	26.2	56.8	0	0	Inf	1	0	0	18	6530	425	methoxyflurane	hiv infection	0	0	Inf	1	0	0	17	5807	425	methoxyflurane	hiv infection	0	0	Inf	1	0	0	5	3474	425	methoxyflurane	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
427	nandrolone decanoate	0	0	6.07	1	0	251	21580	8842508	427	nandrolone decanoate	hiv infection	0	0	57.17	1	0	40	101	58750	427	nandrolone decanoate	hiv infection	26.2	56.8	0	0	11587	1	0	1	18	6529	427	nandrolone decanoate	hiv infection	0	0	11026.82	1	0	1	17	5806	427	nandrolone decanoate	hiv infection	0	0	Inf	1	0	0	5	3474	427	nandrolone decanoate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
341	nandrolone phenpropionate	0	0	15.56	1	0	99	21580	8842660	341	nandrolone phenpropionate	hiv infection	0	0	126.66	1	0	19	101	58771	341	nandrolone phenpropionate	hiv infection	26.2	56.8	0	0	11587	1	0	1	18	6529	341	nandrolone phenpropionate	hiv infection	0	0	11026.82	1	0	1	17	5806	341	nandrolone phenpropionate	hiv infection	0	0	Inf	1	0	0	5	3474	341	nandrolone phenpropionate	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
1284	nelfinavir mesylate	0.49	0.1	1.42	0.31	3	2526	21577	8840233	1284	nelfinavir mesylate	hiv infection	0	0	1.37	0.12	0	1554	101	57236	1284	nelfinavir mesylate	hiv infection	26.2	56.8	0	0	22.48	1	0	67	18	6463	1284	nelfinavir mesylate	hiv infection	0	0	37.34	1	0	39	17	5768	1284	nelfinavir mesylate	hiv infection	0	0	67.91	1	0	56	5	3418	1284	nelfinavir mesylate	hiv infection	-12.54	3.5805290111167e-06	662.45	0.98	-0.02	0.01	0.15	0.86	0.52	0.1	65	497	464
1237	nevirapine	0.42	0.22	0.74	0.00092	12	11644	21568	8831115	1237	nevirapine	hiv infection	0.65	0.27	1.33	0.28	8	6889	93	51901	1237	nevirapine	hiv infection	26.2	56.8	0	0	3.4	0.62	0	411	18	6119	1237	nevirapine	hiv infection	0	0	4.06	0.62	0	329	17	5478	1237	nevirapine	hiv infection	0	0	12.55	1	0	279	5	3195	1237	nevirapine	hiv infection	-14.58	4.65571571578309e-07	710.25	0.98	-0.02	0.01	0.14	0.84	0.52	0.1	65	497	464
1489	nitazoxanide	1.88	0.05	10.58	0.41	1	218	21579	8842541	1489	nitazoxanide	hiv infection	0	0	77.31	1	0	30	101	58760	1489	nitazoxanide	hiv infection	26.2	56.8	0	0	11587	1	0	1	18	6529	1489	nitazoxanide	hiv infection	0	0	Inf	1	0	0	17	5807	1489	nitazoxanide	hiv infection	0	0	16384	1	0	1	5	3473	1489	nitazoxanide	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
446	oxandrolone	3.78	0.78	11.15	0.047	3	325	21577	8842434	446	oxandrolone	hiv infection	0	0	28.3	1	0	79	101	58711	446	oxandrolone	hiv infection	26.2	56.8	0	0	2032.66	1	0	2	18	6528	446	oxandrolone	hiv infection	0	0	554.95	1	0	4	17	5803	446	oxandrolone	hiv infection	0	0	Inf	1	0	0	5	3474	446	oxandrolone	hiv infection	-9.5	7.48518298877006e-05	727.06	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
1827	paromomycin	0	0	17.96	1	0	86	21580	8842673	1827	paromomycin	hiv infection	0	0	119.62	1	0	20	101	58770	1827	paromomycin	hiv infection	26.2	56.8	0	0	11587	1	0	1	18	6529	1827	paromomycin	hiv infection	0	0	11026.82	1	0	1	17	5806	1827	paromomycin	hiv infection	0	0	16384	1	0	1	5	3473	1827	paromomycin	hiv infection	-9.05	0.000117391036919118	1028.33	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
930	pentamidine isethionate	0.54	0.07	1.95	0.6	2	1524	21578	8841235	930	pentamidine isethionate	hiv infection	3.17	0.38	11.85	0.14	2	372	99	58418	930	pentamidine isethionate	hiv infection	26.2	56.8	0	0	102.72	1	0	16	18	6514	930	pentamidine isethionate	hiv infection	0	0	134.16	1	0	12	17	5795	930	pentamidine isethionate	hiv infection	0	0	553.71	1	0	8	5	3466	930	pentamidine isethionate	hiv infection	-11.57	9.44523666643208e-06	874.13	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
850	praziquantel	0	0	12.28	1	0	125	21580	8842634	850	praziquantel	hiv infection	0	0	103.04	1	0	23	101	58767	850	praziquantel	hiv infection	26.2	56.8	0	0	Inf	1	0	0	18	6530	850	praziquantel	hiv infection	0	0	Inf	1	0	0	17	5807	850	praziquantel	hiv infection	0	0	Inf	1	0	0	5	3474	850	praziquantel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	497	464
151	pyrimethamine	0	0	1.49	0.19	0	1015	21580	8841744	151	pyrimethamine	hiv infection	0	0	6.41	1	0	341	101	58449	151	pyrimethamine	hiv infection	26.2	56.8	0	0	118.77	1	0	14	18	6516	151	pyrimethamine	hiv infection	0	0	134.16	1	0	12	17	5795	151	pyrimethamine	hiv infection	0	0	472.02	1	0	9	5	3465	151	pyrimethamine	hiv infection	-11.52	9.92950430585108e-06	850.2	0.99	-0.02	0.01	0.16	0.87	0.52	0.1	65	497	464
2032	raltegravir	0.31	0.06	0.9	0.024	3	4007	21577	8838752	2032	raltegravir	hiv infection	0	0	0.74	0.016	0	2806	101	55984	2032	raltegravir	hiv infection	26.2	56.8	0	0	3.69	0.62	0	381	18	6149	2032	raltegravir	hiv infection	0	0	3.59	0.62	0	369	17	5438	2032	raltegravir	hiv infection	0	0	21.76	1	0	167	5	3307	2032	raltegravir	hiv infection	-14.57	4.70250643662309e-07	758.35	0.98	-0.02	0.01	0.17	0.88	0.52	0.09	65	497	464
